"bairro";"ano";"n_mvi";"bairro_id";"periodo";"pct_area_dominacao_ada";"pct_area_dominacao_cv";"pct_area_dominacao_milicia";"pct_area_dominacao_tcp";"ips_2022_agua_saneamento";"ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas";"censo_2010_populacao_total";"censo_2010_rendimento_domiciliar_medio_brl";"fc_total_tiroteios";"fc_acao_policial"
"Freguesia (Ilha do Governador)";"2019";"3";"1";"1";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"5,66474299999999964";"95,3061729793018";"0,1408";"19437";"2801,22";"6";"1"
"Freguesia (Ilha do Governador)";"2020";"0";"1";"2";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"5,66474299999999964";"95,3061729793018";"0,1408";"19437";"2801,22";"2";"0"
"Freguesia (Ilha do Governador)";"2021";"0";"1";"3";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"5,66474299999999964";"95,3061729793018";"0,1408";"19437";"2801,22";"2";"0"
"Freguesia (Ilha do Governador)";"2022";"0";"1";"4";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"3,97774200000000011";"95,3061729793018";"0,1408";"19437";"2801,22";"2";"1"
"Freguesia (Ilha do Governador)";"2023";"1";"1";"5";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"5,66474299999999964";"95,3061729793018";"0,1408";"19437";"2801,22";"1";"0"
"Freguesia (Ilha do Governador)";"2024";"1";"1";"6";"0,000000000000000";"0,00000000000000";"0,0000000000000000";"5,66474299999999964";"95,3061729793018";"0,1408";"19437";"2801,22";"1";"0"
"Bancários";"2019";"0";"2";"1";"5,881197000000000";"0,00000000000000";"0,0822330000000000";"9,41677400000000020";"97,2131465515380";"0,4743";"12512";"2481,54";"1";"0"
"Bancários";"2020";"0";"2";"2";"5,881197000000000";"0,00000000000000";"0,0822330000000000";"9,41677400000000020";"97,2131465515380";"0,4743";"12512";"2481,54";"5";"1"
"Bancários";"2021";"0";"2";"3";"5,881197000000000";"0,00000000000000";"0,0822330000000000";"9,41677400000000020";"97,2131465515380";"0,4743";"12512";"2481,54";"7";"3"
"Bancários";"2022";"0";"2";"4";"5,881197000000000";"0,00000000000000";"0,0822330000000000";"9,40614199999999911";"97,2131465515380";"0,4743";"12512";"2481,54";"3";"1"
"Bancários";"2023";"0";"2";"5";"5,881197000000000";"0,00000000000000";"0,0822330000000000";"9,41677400000000020";"97,2131465515380";"0,4743";"12512";"2481,54";"0";"0"
"Bancários";"2024";"1";"2";"6";"5,881197000000000";"0,00000000000000";"0,0822330000000000";"9,41677400000000020";"97,2131465515380";"0,4743";"12512";"2481,54";"1";"1"
"Galeão";"2019";"8";"3";"1";"0,000000000000000";"1,80141700000000";"0,0000000000000000";"0,61844600000000005";"79,1365660254960";"0,0922";"22971";"2269,73";"18";"7"
"Galeão";"2020";"2";"3";"2";"0,000000000000000";"1,80141700000000";"0,0000000000000000";"0,61844600000000005";"79,1365660254960";"0,0922";"22971";"2269,73";"10";"3"
"Galeão";"2021";"9";"3";"3";"0,000000000000000";"1,80141700000000";"0,0000000000000000";"0,61844600000000005";"79,1365660254960";"0,0922";"22971";"2269,73";"6";"1"
"Galeão";"2022";"3";"3";"4";"0,000000000000000";"1,80141700000000";"0,0000000000000000";"0,61844600000000005";"79,1365660254960";"0,0922";"22971";"2269,73";"27";"16"
"Galeão";"2023";"0";"3";"5";"0,000000000000000";"1,80141700000000";"0,0000000000000000";"0,61844600000000005";"79,1365660254960";"0,0922";"22971";"2269,73";"2";"1"
"Galeão";"2024";"2";"3";"6";"0,000000000000000";"1,80141700000000";"0,0000000000000000";"0,61844600000000005";"79,1365660254960";"0,0922";"22971";"2269,73";"10";"5"
"Tauá";"2019";"7";"4";"1";"0,005589000000000";"0,00000000000000";"2,9931820000000000";"14,61978200000000072";"92,2521242943769";"0,0798";"29567";"2310,23";"0";"0"
"Tauá";"2020";"2";"4";"2";"0,005589000000000";"0,00000000000000";"2,9931820000000000";"14,61978200000000072";"92,2521242943769";"0,0798";"29567";"2310,23";"1";"1"
"Tauá";"2021";"1";"4";"3";"0,005589000000000";"0,00000000000000";"2,9931820000000000";"14,61978200000000072";"92,2521242943769";"0,0798";"29567";"2310,23";"1";"0"
"Tauá";"2022";"1";"4";"4";"0,005589000000000";"0,00000000000000";"10,4601340000000000";"7,15282999999999980";"92,2521242943769";"0,0798";"29567";"2310,23";"4";"0"
"Tauá";"2023";"1";"4";"5";"0,005589000000000";"0,00000000000000";"10,3752209999999998";"7,15282999999999980";"92,2521242943769";"0,0798";"29567";"2310,23";"6";"2"
