bairro,ano,fc_total_tiroteios,fc_acao_policial
Abolição,2019,2,1
Abolição,2020,0,0
Abolição,2021,3,0
Abolição,2022,1,0
Abolição,2023,0,0
Abolição,2024,1,0
Acari,2019,34,14
Acari,2020,39,30
Acari,2021,11,2
Acari,2022,8,3
Acari,2023,4,1
Acari,2024,6,5
Alto da Boa Vista,2019,3,1
Alto da Boa Vista,2020,4,1
Alto da Boa Vista,2021,4,0
Alto da Boa Vista,2022,3,1
Alto da Boa Vista,2023,0,0
Alto da Boa Vista,2024,0,0
Anchieta,2019,61,17
Anchieta,2020,59,15
Anchieta,2021,56,17
Anchieta,2022,33,5
Anchieta,2023,36,6
Anchieta,2024,13,7
Andaraí,2019,20,7
Andaraí,2020,56,11
Andaraí,2021,47,15
Andaraí,2022,20,5
Andaraí,2023,8,0
Andaraí,2024,8,1
Anil,2019,4,0
Anil,2020,2,1
Anil,2021,4,0
Anil,2022,3,0
Anil,2023,17,2
Anil,2024,13,1
Bancários,2019,1,0
Bancários,2020,5,1
Bancários,2021,7,3
Bancários,2022,3,1
Bancários,2023,0,0
Bancários,2024,1,1
Bangu,2019,517,82
Bangu,2020,383,48
Bangu,2021,209,40
Bangu,2022,121,48
Bangu,2023,165,61
Bangu,2024,73,30
Barra da Tijuca,2019,13,3
Barra da Tijuca,2020,7,0
Barra da Tijuca,2021,11,5
Barra da Tijuca,2022,16,3
Barra da Tijuca,2023,9,2
Barra da Tijuca,2024,18,2
Barra de Guaratiba,2019,1,1
Barra de Guaratiba,2020,0,0
Barra de Guaratiba,2021,0,0
Barra de Guaratiba,2022,0,0
Barra de Guaratiba,2023,2,0
Barra de Guaratiba,2024,0,0
Barros Filho,2019,19,8
Barros Filho,2020,9,4
Barros Filho,2021,11,2
Barros Filho,2022,7,5
Barros Filho,2023,17,4
Barros Filho,2024,12,2
Benfica,2019,25,6
Benfica,2020,11,2
Benfica,2021,12,2
Benfica,2022,8,1
Benfica,2023,6,2
Benfica,2024,5,2
Bento Ribeiro,2019,8,1
Bento Ribeiro,2020,5,1
Bento Ribeiro,2021,9,0
Bento Ribeiro,2022,7,0
Bento Ribeiro,2023,7,0
Bento Ribeiro,2024,1,0
Bonsucesso,2019,32,9
Bonsucesso,2020,13,2
Bonsucesso,2021,10,0
Bonsucesso,2022,12,5
Bonsucesso,2023,8,5
Bonsucesso,2024,10,6
Botafogo,2019,20,14
Botafogo,2020,14,2
Botafogo,2021,3,2
Botafogo,2022,7,3
Botafogo,2023,5,2
Botafogo,2024,0,0
Brás de Pina,2019,36,6
Brás de Pina,2020,30,3
Brás de Pina,2021,44,8
Brás de Pina,2022,62,22
Brás de Pina,2023,50,14
Brás de Pina,2024,79,18
Cachambi,2019,13,3
Cachambi,2020,6,0
Cachambi,2021,10,0
Cachambi,2022,15,2
Cachambi,2023,8,3
Cachambi,2024,10,1
Cacuia,2019,1,0
Cacuia,2020,2,0
Cacuia,2021,1,0
Cacuia,2022,0,0
Cacuia,2023,0,0
Cacuia,2024,0,0
Caju,2019,18,8
Caju,2020,22,10
Caju,2021,7,3
Caju,2022,13,7
Caju,2023,5,1
Caju,2024,2,2
Camorim,2019,0,0
Camorim,2020,0,0
Camorim,2021,1,0
Camorim,2022,0,0
Camorim,2023,3,0
Camorim,2024,0,0
Campinho,2019,13,0
Campinho,2020,6,1
Campinho,2021,9,3
Campinho,2022,47,8
Campinho,2023,46,4
Campinho,2024,36,5
Campo Grande,2019,26,5
Campo Grande,2020,29,3
Campo Grande,2021,23,2
Campo Grande,2022,33,4
Campo Grande,2023,19,4
Campo Grande,2024,24,2
Campo dos Afonsos,2019,0,0
Campo dos Afonsos,2020,0,0
Campo dos Afonsos,2021,1,0
Campo dos Afonsos,2022,0,0
Campo dos Afonsos,2023,0,0
Campo dos Afonsos,2024,0,0
Cascadura,2019,7,2
Cascadura,2020,19,3
Cascadura,2021,26,2
Cascadura,2022,55,1
Cascadura,2023,57,9
Cascadura,2024,47,10
Catete,2019,7,2
Catete,2020,3,0
Catete,2021,5,0
Catete,2022,9,5
Catete,2023,8,3
Catete,2024,3,0
Catumbi,2019,24,5
Catumbi,2020,10,3
Catumbi,2021,12,1
Catumbi,2022,9,2
Catumbi,2023,6,3
Catumbi,2024,4,1
Cavalcanti,2019,20,7
Cavalcanti,2020,5,1
Cavalcanti,2021,6,1
Cavalcanti,2022,8,2
Cavalcanti,2023,6,3
Cavalcanti,2024,13,9
Centro,2019,22,4
Centro,2020,12,5
Centro,2021,5,2
Centro,2022,16,3
Centro,2023,9,2
Centro,2024,3,2
Cidade Nova,2019,5,4
Cidade Nova,2020,1,0
Cidade Nova,2021,3,2
Cidade Nova,2022,3,0
Cidade Nova,2023,5,2
Cidade Nova,2024,2,0
Cidade Universitária,2019,1,0
Cidade Universitária,2020,0,0
Cidade Universitária,2021,1,0
Cidade Universitária,2022,1,1
Cidade Universitária,2023,1,1
Cidade Universitária,2024,0,0
Cidade de Deus,2019,266,99
Cidade de Deus,2020,123,38
Cidade de Deus,2021,48,8
Cidade de Deus,2022,31,15
