bairro,censo_2010_populacao_total,censo_2010_rendimento_domiciliar_medio_brl
Abolição,11356,2973.02
Acari,27347,1071.9
Alto da Boa Vista,9343,3908.56
Anchieta,55652,1799.64
Andaraí,39365,4499.25
Anil,24172,4596.06
Bancários,12512,2481.54
Bangu,243125,1840.31
Barra da Tijuca,135924,11579
Barra de Guaratiba,3577,2105.43
Barros Filho,14049,1115.5
Benfica,25081,1886.82
Bento Ribeiro,43707,2545.85
Bonsucesso,18711,2464.27
Botafogo,82890,7108.48
Brás de Pina,59222,2262.74
Cachambi,42415,3803.74
Cacuia,11013,2453.73
Caju,20477,1269.57
Camorim,1970,3939.4
Campinho,10156,3081.85
Campo Grande,328370,2308.66
Campo dos Afonsos,1365,6185.07
Cascadura,34456,2346.72
Catete,24057,4880.73
Catumbi,12556,1948.23
Cavalcanti,16141,1649.89
Centro,41142,2819.75
Cidade Nova,5466,2347.18
Cidade Universitária,1556,2549.08
Cidade de Deus,36515,1437.93
Cocotá,4877,3698.42
Coelho Neto,32423,1714.36
Colégio,29245,1692.37
Complexo do Alemão,69143,1187.34
Copacabana,146392,6668.37
Cordovil,45202,1689.59
Cosme Velho,7178,7874.71
Cosmos,77007,1435.12
Costa Barros,28442,1147.85
Curicica,31189,2310.99
Del Castilho,15610,2317.78
Deodoro,10842,1649.31
Encantado,15021,2755.11
Engenheiro Leal,6113,1846.77
Engenho Novo,42172,2859.72
Engenho da Rainha,26659,2125.8
Engenho de Dentro,45540,2892.77
Estácio,17189,2224.45
Flamengo,50043,7616.23
Freguesia (Ilha do Governador),19437,2801.22
Freguesia (Jacarepaguá),70511,4835.78
Galeão,22971,2269.73
Gamboa,13108,1438.21
Gardênia Azul,17715,1847.88
Gericinó,15167,1265.92
Glória,9661,4711.03
Grajaú,38671,5384.55
Grumari,167,973.32
Guadalupe,47144,1965.56
Guaratiba,110049,1486.88
Gávea,16003,8896.36
Higienópolis,15734,2881.83
Honório Gurgel,21989,1815.78
Humaitá,13285,8059.78
Inhaúma,45698,1797.39
Inhoaíba,64649,1427.79
Ipanema,42743,10410.35
Irajá,96382,2680.85
Itanhangá,38415,3093.85
Jacarepaguá,157326,2282.28
Jacarezinho,37839,1163.08
Jacaré,9276,1896.78
Jardim América,25226,1996.71
Jardim Botânico,18009,10289.47
Jardim Carioca,24848,2679.69
Jardim Guanabara,32213,6575.54
Jardim Sulacap,13062,4033.4
Joá,818,16906.04
Lagoa,21198,14281.49
Laranjeiras,45554,7861.97
Leblon,46044,10987.49
Leme,14799,7226.74
Lins de Vasconcelos,37487,3061.01
Madureira,50106,2391.05
Magalhães Bastos,24430,1941.94
Mangueira,17835,1435.79
Manguinhos,36160,1179.64
Maracanã,25256,6260.25
Marechal Hermes,48061,2213.48
Maria da Graça,7972,3180.91
Maré,129770,1228.56
Moneró,6476,5068.63
Méier,49828,4876.66
Olaria,57514,2550.34
Oswaldo Cruz,34040,2330.83
Paciência,94626,1413.97
Padre Miguel,64228,1925.24
Parada de Lucas,23923,1411.97
Parque Anchieta,26212,2181.37
Parque Colúmbia,9202,1663.36
Pavuna,97350,1698.29
Pechincha,34709,4370.99
Pedra de Guaratiba,9488,2296.41
Penha,78678,2132.23
Penha Circular,47816,2412.71
Piedade,43378,2548.58
Pilares,27250,2077.58
Pitangueiras,11756,2203.75
Portuguesa,23856,3567.57
Praia da Bandeira,5948,3574.74
Praça Seca,64147,2809.35
Praça da Bandeira,8662,4581.02
Quintino Bocaiúva,31185,2459.04
Ramos,40792,2380.26
Realengo,180123,1932.4
Recreio dos Bandeirantes,82240,6732.23
Riachuelo,12653,3456.15
Ribeira,3528,4591.59
Ricardo de Albuquerque,29310,1696.72
Rio Comprido,43764,2873
Rocha,8766,3560.99
Rocha Miranda,44188,2029.86
Rocinha,69356,1209.2
Sampaio,10895,2240.6
Santa Cruz,217333,1472.35
Santa Teresa,40926,2943.94
Santo Cristo,12330,1662.87
Santíssimo,41458,1680.72
Saúde,2749,1913.78
Senador Camará,105515,1527.66
Senador Vasconcelos,30600,1893.62
Sepetiba,56575,1422.85
São Conrado,10980,12956.02
São Cristóvão,26510,2850.51
São Francisco Xavier,8343,3012.73
Tanque,37856,2486.53
Taquara,102126,3170.82
Tauá,29567,2310.23
Tijuca,163805,6098.69
Todos os Santos,24646,4870.72
Tomás Coelho,22676,1981.95
Turiaçú,17246,2084.27
Urca,7061,8765.08
Vargem Grande,14039,2562.33
Vargem Pequena,27250,2215.86
Vasco da Gama,15482,2073.79
Vaz Lobo,15167,1929.43
Vicente de Carvalho,24964,1841.79
Vidigal,12797,1639.85
Vigário Geral,41820,1420.75
Vila Isabel,86018,4561.44
Vila Kosmos,18274,2695.76
Vila Militar,13184,2805.79
Vila Valqueire,32279,4092.15
Vila da Penha,25465,3876.96
Vista Alegre,8622,3132.26
Zumbi,2016,4561.07
Água Santa,8756,2989.23
