bairro,censo_2010_populacao_total,censo_2010_rendimento_domiciliar_medio_brl
Freguesia (Ilha do Governador),19437,2801.22
Bancários,12512,2481.54
Galeão,22971,2269.73
Tauá,29567,2310.23
Portuguesa,23856,3567.57
Moneró,6476,5068.63
Vigário Geral,41820,1420.75
Cocotá,4877,3698.42
Jardim América,25226,1996.71
Jardim Carioca,24848,2679.69
Pavuna,97350,1698.29
Cordovil,45202,1689.59
Jardim Guanabara,32213,6575.54
Parada de Lucas,23923,1411.97
Parque Colúmbia,9202,1663.36
Praia da Bandeira,5948,3574.74
Penha Circular,47816,2412.71
Cacuia,11013,2453.73
Irajá,96382,2680.85
Anchieta,55652,1799.64
Acari,27347,1071.9
Pitangueiras,11756,2203.75
Costa Barros,28442,1147.85
Brás de Pina,59222,2262.74
Penha,78678,2132.23
Zumbi,2016,4561.07
Ribeira,3528,4591.59
Coelho Neto,32423,1714.36
Guadalupe,47144,1965.56
Parque Anchieta,26212,2181.37
Barros Filho,14049,1115.5
Vista Alegre,8622,3132.26
Ricardo de Albuquerque,29310,1696.72
Colégio,29245,1692.37
Honório Gurgel,21989,1815.78
Olaria,57514,2550.34
Vila da Penha,25465,3876.96
Maré,129770,1228.56
Vila Militar,13184,2805.79
Cidade Universitária,1556,2549.08
Rocha Miranda,44188,2029.86
Ramos,40792,2380.26
Realengo,180123,1932.4
Vila Kosmos,18274,2695.76
Marechal Hermes,48061,2213.48
Vicente de Carvalho,24964,1841.79
Paciência,94626,1413.97
Engenho da Rainha,26659,2125.8
Complexo do Alemão,69143,1187.34
Vaz Lobo,15167,1929.43
Padre Miguel,64228,1925.24
Bento Ribeiro,43707,2545.85
Turiaçú,17246,2084.27
Bonsucesso,18711,2464.27
Inhaúma,45698,1797.39
Tomás Coelho,22676,1981.95
Santíssimo,41458,1680.72
Madureira,50106,2391.05
Oswaldo Cruz,34040,2330.83
Santa Cruz,217333,1472.35
Magalhães Bastos,24430,1941.94
Senador Camará,105515,1527.66
Cavalcanti,16141,1649.89
Campo dos Afonsos,1365,6185.07
Higienópolis,15734,2881.83
Manguinhos,36160,1179.64
Engenheiro Leal,6113,1846.77
Pilares,27250,2077.58
Del Castilho,15610,2317.78
Piedade,43378,2548.58
Cascadura,34456,2346.72
Vila Valqueire,32279,4092.15
Maria da Graça,7972,3180.91
Quintino Bocaiúva,31185,2459.04
Jardim Sulacap,13062,4033.4
Campinho,10156,3081.85
Abolição,11356,2973.02
Senador Vasconcelos,30600,1893.62
Cosmos,77007,1435.12
Jacarezinho,37839,1163.08
Cachambi,42415,3803.74
Praça Seca,64147,2809.35
Benfica,25081,1886.82
Engenho de Dentro,45540,2892.77
São Cristóvão,26510,2850.51
Vasco da Gama,15482,2073.79
Inhoaíba,64649,1427.79
Todos os Santos,24646,4870.72
Jacaré,9276,1896.78
Encantado,15021,2755.11
Rocha,8766,3560.99
Méier,49828,4876.66
Gamboa,13108,1438.21
Santo Cristo,12330,1662.87
Centro,41142,2819.75
Sampaio,10895,2240.6
Riachuelo,12653,3456.15
Saúde,2749,1913.78
São Francisco Xavier,8343,3012.73
Engenho Novo,42172,2859.72
Mangueira,17835,1435.79
Tanque,37856,2486.53
Taquara,102126,3170.82
Água Santa,8756,2989.23
Lins de Vasconcelos,37487,3061.01
Freguesia (Jacarepaguá),70511,4835.78
Cidade Nova,5466,2347.18
Praça da Bandeira,8662,4581.02
Vila Isabel,86018,4561.44
Maracanã,25256,6260.25
Glória,9661,4711.03
Rio Comprido,43764,2873
Santa Teresa,40926,2943.94
Estácio,17189,2224.45
Tijuca,163805,6098.69
Catumbi,12556,1948.23
Grajaú,38671,5384.55
Pechincha,34709,4370.99
Andaraí,39365,4499.25
Catete,24057,4880.73
Flamengo,50043,7616.23
Laranjeiras,45554,7861.97
Guaratiba,110049,1486.88
Vargem Grande,14039,2562.33
Alto da Boa Vista,9343,3908.56
Cosme Velho,7178,7874.71
Curicica,31189,2310.99
Botafogo,82890,7108.48
Urca,7061,8765.08
Cidade de Deus,36515,1437.93
Sepetiba,56575,1422.85
Anil,24172,4596.06
Jacarepaguá,157326,2282.28
Camorim,1970,3939.4
Humaitá,13285,8059.78
Gardênia Azul,17715,1847.88
Jardim Botânico,18009,10289.47
Vargem Pequena,27250,2215.86
Copacabana,146392,6668.37
Leme,14799,7226.74
Lagoa,21198,14281.49
Itanhangá,38415,3093.85
Gávea,16003,8896.36
Barra da Tijuca,135924,11579
Leblon,46044,10987.49
Ipanema,42743,10410.35
São Conrado,10980,12956.02
Rocinha,69356,1209.2
Pedra de Guaratiba,9488,2296.41
Recreio dos Bandeirantes,82240,6732.23
Vidigal,12797,1639.85
Joá,818,16906.04
Barra de Guaratiba,3577,2105.43
Grumari,167,973.32
Caju,20477,1269.57
Deodoro,10842,1649.31
Campo Grande,328370,2308.66
Bangu,243125,1840.31
Gericinó,15167,1265.92
