bairro,ips_2022_agua_saneamento,ips_2022_pessoas_vivendo_em_favelas_nao_urbanizadas
Abolição,99.31000426227968,0
Acari,91.86325152680423,0.029
Alto da Boa Vista,47.35488084341408,0.0855
Anchieta,93.99705144426088,0.196
Andaraí,95.99841478642549,0.0096
Anil,89.58254436079804,0.3418
Bancários,97.213146551538,0.4743
Bangu,95.90332583268912,0.1153
Barra da Tijuca,94.87865114349452,0.0134
Barra de Guaratiba,66.67906723629739,0.1764
Barros Filho,91.98180830800582,1
Benfica,60.50718152089958,0.0185
Bento Ribeiro,97.82869282901017,0.019
Bonsucesso,89.55593135310744,0.1151
Botafogo,97.66361971832264,0.0203
Brás de Pina,97.94479087934889,0.2107
Cachambi,96.61127882191388,0.0161
Cacuia,91.71867774121968,0.258
Caju,90.91772220405798,0.0587
Camorim,47.69081811802734,0.5873
Campinho,92.6262434216586,0.1543
Campo Grande,90.24639730227165,0.0466
Campo dos Afonsos,99.85008316932634,0
Cascadura,93.16794705909751,0.1115
Catete,96.86269041439444,0.09
Catumbi,94.16137926458174,0
Cavalcanti,96.1215913642796,0.1315
Centro,91.09953516724195,0.0026
Cidade Nova,71.36674134753052,0
Cidade Universitária,43.64534138544525,0
Cidade de Deus,97.19846015496498,0.1223
Cocotá,94.78898520331434,0.0734
Coelho Neto,95.50546576583884,0.0291
Colégio,97.58277960800574,0.012
Complexo do Alemão,96.721730830482,0.2309
Copacabana,98.60510524222065,0.019
Cordovil,96.4655975065232,0.1744
Cosme Velho,96.3485224745106,0.021
Cosmos,91.19513940263523,0.0284
Costa Barros,94.38404853818244,0.3189
Curicica,91.1664274503524,0.1542
Del Castilho,98.45569740173346,0.0461
Deodoro,96.2238733640488,0.1585
Encantado,96.91870963147268,0.0328
Engenheiro Leal,93.75376412700366,0.3247
Engenho Novo,98.0122801676648,0.2578
Engenho da Rainha,96.67074821858674,0.1502
Engenho de Dentro,89.99227629970063,0.0395
Estácio,86.0789424882081,0.0156
Flamengo,98.97373372276572,0
Freguesia (Ilha do Governador),95.30617297930183,0.1408
Freguesia (Jacarepaguá),87.77320656485811,0.0943
Galeão,79.13656602549601,0.0922
Gamboa,85.20981391185724,0.0198
Gardênia Azul,90.0670561872985,0.4298
Gericinó,95.90332583268912,0.1153
Glória,95.93130914166564,0
Grajaú,94.87388879676134,0
Grumari,24.70161804015567,0
Guadalupe,95.3054855747894,0.2573
Guaratiba,71.25033287665525,0.2464
Gávea,98.92775953524578,0.1202
Higienópolis,99.17081528405288,0.1291
Honório Gurgel,95.94041483341776,0.1854
Humaitá,99.64777157966464,0
Inhaúma,96.30961170802834,0.0876
Inhoaíba,92.5501126014028,0.2742
Ipanema,98.5970540329076,0
Irajá,97.95801924597951,0.0585
Itanhangá,66.81751645963149,0.4538
Jacarepaguá,76.24465609952325,0.5451
Jacarezinho,94.83355715007636,0.8848
Jacaré,77.10187690927957,0.188
Jardim América,97.43735647566734,0.0369
Jardim Botânico,96.30822258321136,0.053900000000000003
Jardim Carioca,93.385967278292,0.0033
Jardim Guanabara,99.1307286773496,0.0197
Jardim Sulacap,92.89696202897998,0.0073
Joá,75.13777320239024,0
Lagoa,96.914049208767,0
Laranjeiras,97.75741964717533,0
Leblon,98.9640464003092,0
Leme,99.25262739264636,0
Lins de Vasconcelos,89.67750571851589,0.3889
Madureira,95.20906150852348,0.0286
Magalhães Bastos,94.31124623390996,0.2211
Mangueira,91.1570446023513,0
Manguinhos,95.197754951703,0.3153
Maracanã,98.08264495722835,0
Marechal Hermes,93.15055979220809,0.1936
Maria da Graça,95.48543719827134,0
Maré,93.10007816995042,0.1014
Moneró,86.00536736354526,0
Méier,98.5446910743913,0
Olaria,98.40370203177191,0.301
Oswaldo Cruz,94.21960263541406,0.0488
Paciência,86.94026044779638,0.2453
Padre Miguel,97.8097682100136,0.2662
Parada de Lucas,97.669686907697,0.0026
Parque Anchieta,97.49304531175471,0.0335
Parque Colúmbia,91.99273071607072,0
Pavuna,94.48409007622196,0.213
Pechincha,94.45669861830754,0.0605
Pedra de Guaratiba,75.53345664453734,0
Penha,90.44637442078512,0.0151
Penha Circular,98.55275179834382,0.0032
Piedade,96.1341395976133,0.1571
Pilares,97.99402826781768,0.0442
Pitangueiras,96.97635044371562,0.6062
Portuguesa,96.90272879153969,0
Praia da Bandeira,99.54647861725512,0
Praça Seca,88.70324690340546,0.2739
Praça da Bandeira,92.54400767055236,0
Quintino Bocaiúva,94.81456678279804,0.0604
Ramos,97.88000859352069,0.1611
Realengo,94.09847584312251,0.0787
Recreio dos Bandeirantes,82.69146951917168,0.2365
Riachuelo,94.41117449030747,0
Ribeira,92.5838979384342,0
Ricardo de Albuquerque,96.01143444860682,0.0395
Rio Comprido,88.92207701323271,0.1515
Rocha,97.71483665542212,0
Rocha Miranda,96.56378330266676,0
Rocinha,91.27593479413088,0.9999
Sampaio,88.74906195321756,0.1203
Santa Cruz,87.93779616938625,0.0959
Santa Teresa,90.32295759594544,0.2143
Santo Cristo,89.44428649171611,0.0434
Santíssimo,92.92464977979232,0.1325
Saúde,88.11206196012175,0
Senador Camará,94.50317578357314,0.3656
Senador Vasconcelos,90.53095400898609,0.0698
Sepetiba,82.19716329921913,0.0394
São Conrado,98.35186592182885,0.0879
São Cristóvão,57.89143901859355,0.1409
São Francisco Xavier,86.84432628141752,0.3373
Tanque,92.04672988586454,0.232
Taquara,91.09484355022076,0.1467
Tauá,92.25212429437693,0.0798
Tijuca,95.30517419315966,0.0101
Todos os Santos,98.84517254757203,0
Tomás Coelho,95.445246880302,0.1079
Turiaçú,96.20322767819916,0
Urca,76.15447114971148,0
Vargem Grande,37.07904276080493,0.414
Vargem Pequena,69.50189611617661,0.1236
Vasco da Gama,89.74669840766651,0.0754
Vaz Lobo,97.35245498452802,0.0269
Vicente de Carvalho,98.8875988539541,0
Vidigal,97.4721000202422,0.0542
Vigário Geral,88.27565833556324,0.2709
Vila Isabel,97.50743963293849,0.2218
Vila Kosmos,99.31411554063357,0.1332
Vila Militar,87.63973191760202,0.0467
