bairro,ano,n_mvi
Abolição,2019,1
Abolição,2020,1
Abolição,2023,1
Abolição,2024,1
Acari,2019,11
Acari,2020,17
Acari,2021,4
Acari,2022,3
Acari,2023,1
Acari,2024,2
Alto da Boa Vista,2019,2
Alto da Boa Vista,2021,3
Alto da Boa Vista,2024,1
Anchieta,2019,26
Anchieta,2020,36
Anchieta,2021,19
Anchieta,2022,21
Anchieta,2023,10
Anchieta,2024,9
Andaraí,2019,3
Andaraí,2020,4
Andaraí,2021,4
Andaraí,2022,4
Andaraí,2023,4
Andaraí,2024,2
Anil,2019,4
Anil,2020,2
Anil,2021,4
Anil,2022,3
Anil,2023,22
Anil,2024,20
Bancários,2024,1
Bangu,2019,141
Bangu,2020,82
Bangu,2021,82
Bangu,2022,62
Bangu,2023,68
Bangu,2024,55
Barra da Tijuca,2019,8
Barra da Tijuca,2020,11
Barra da Tijuca,2021,11
Barra da Tijuca,2022,15
Barra da Tijuca,2023,24
Barra da Tijuca,2024,24
Barra de Guaratiba,2019,2
Barra de Guaratiba,2021,1
Barra de Guaratiba,2022,3
Barra de Guaratiba,2023,4
Barra de Guaratiba,2024,2
Barros Filho,2019,20
Barros Filho,2020,10
Barros Filho,2021,11
Barros Filho,2022,12
Barros Filho,2023,7
Barros Filho,2024,12
Benfica,2019,14
Benfica,2020,10
Benfica,2021,9
Benfica,2022,12
Benfica,2023,4
Benfica,2024,8
Bento Ribeiro,2019,6
Bento Ribeiro,2020,5
Bento Ribeiro,2021,2
Bento Ribeiro,2022,2
Bento Ribeiro,2023,3
Bento Ribeiro,2024,3
Bonsucesso,2019,25
Bonsucesso,2020,28
Bonsucesso,2021,16
Bonsucesso,2022,27
Bonsucesso,2023,19
Bonsucesso,2024,17
Botafogo,2019,6
Botafogo,2020,5
Botafogo,2021,1
Botafogo,2023,3
Botafogo,2024,2
Brás de Pina,2019,10
Brás de Pina,2020,24
Brás de Pina,2021,17
Brás de Pina,2022,25
Brás de Pina,2023,11
Brás de Pina,2024,19
Cachambi,2019,5
Cachambi,2020,2
Cachambi,2021,3
Cachambi,2022,2
Cachambi,2023,8
Cachambi,2024,5
Cacuia,2019,1
Cacuia,2020,1
Cacuia,2022,2
Cacuia,2023,1
Cacuia,2024,1
Caju,2019,8
Caju,2020,6
Caju,2021,2
Caju,2022,7
Caju,2023,8
Caju,2024,3
Camorim,2020,1
Camorim,2021,1
Camorim,2023,7
Camorim,2024,1
Campinho,2020,3
Campinho,2021,1
Campinho,2022,3
Campinho,2023,8
Campinho,2024,7
Campo Grande,2019,45
Campo Grande,2020,33
Campo Grande,2021,33
Campo Grande,2022,30
Campo Grande,2023,30
Campo Grande,2024,30
Campo dos Afonsos,2023,1
Cascadura,2019,4
Cascadura,2020,16
Cascadura,2021,8
Cascadura,2022,18
Cascadura,2023,20
Cascadura,2024,7
Catete,2019,1
Catete,2022,2
Catete,2024,1
Catumbi,2019,19
Catumbi,2020,11
Catumbi,2021,5
Catumbi,2022,2
Catumbi,2023,3
Catumbi,2024,3
Cavalcanti,2019,12
Cavalcanti,2020,5
Cavalcanti,2021,8
Cavalcanti,2022,2
Cavalcanti,2023,10
Cavalcanti,2024,12
Centro,2019,22
Centro,2020,18
Centro,2021,20
Centro,2022,18
Centro,2023,28
Centro,2024,20
Cidade Nova,2019,7
Cidade Nova,2020,3
Cidade Nova,2021,5
Cidade Nova,2022,5
Cidade Nova,2023,2
Cidade Nova,2024,1
Cidade Universitária,2019,8
Cidade Universitária,2020,3
Cidade Universitária,2021,4
Cidade Universitária,2022,2
Cidade Universitária,2023,2
Cidade Universitária,2024,4
Cidade de Deus,2019,28
Cidade de Deus,2020,6
Cidade de Deus,2021,7
Cidade de Deus,2022,6
Cidade de Deus,2023,9
Cidade de Deus,2024,6
Cocotá,2020,3
Cocotá,2022,1
Cocotá,2024,2
Coelho Neto,2019,13
Coelho Neto,2020,6
Coelho Neto,2021,13
Coelho Neto,2022,17
Coelho Neto,2023,9
Coelho Neto,2024,12
Colégio,2019,7
Colégio,2020,5
