bairro,ano,n_mvi
Freguesia (Ilha do Governador),2019,3
Freguesia (Ilha do Governador),2020,0
Freguesia (Ilha do Governador),2021,0
Freguesia (Ilha do Governador),2022,0
Freguesia (Ilha do Governador),2023,1
Freguesia (Ilha do Governador),2024,1
Bancários,2019,0
Bancários,2020,0
Bancários,2021,0
Bancários,2022,0
Bancários,2023,0
Bancários,2024,1
Galeão,2019,8
Galeão,2020,2
Galeão,2021,9
Galeão,2022,3
Galeão,2023,0
Galeão,2024,2
Tauá,2019,7
Tauá,2020,2
Tauá,2021,1
Tauá,2022,1
Tauá,2023,1
Tauá,2024,3
Portuguesa,2019,1
Portuguesa,2020,0
Portuguesa,2021,6
Portuguesa,2022,7
Portuguesa,2023,3
Portuguesa,2024,2
Moneró,2019,1
Moneró,2020,0
Moneró,2021,0
Moneró,2022,0
Moneró,2023,1
Moneró,2024,1
Vigário Geral,2019,9
Vigário Geral,2020,9
Vigário Geral,2021,7
Vigário Geral,2022,6
Vigário Geral,2023,7
Vigário Geral,2024,3
Cocotá,2019,0
Cocotá,2020,3
Cocotá,2021,0
Cocotá,2022,1
Cocotá,2023,0
Cocotá,2024,2
Jardim América,2019,9
Jardim América,2020,6
Jardim América,2021,8
Jardim América,2022,7
Jardim América,2023,1
Jardim América,2024,0
Jardim Carioca,2019,8
Jardim Carioca,2020,1
Jardim Carioca,2021,1
Jardim Carioca,2022,0
Jardim Carioca,2023,0
Jardim Carioca,2024,1
Pavuna,2019,55
Pavuna,2020,31
Pavuna,2021,37
Pavuna,2022,24
Pavuna,2023,29
Pavuna,2024,25
Cordovil,2019,15
Cordovil,2020,15
Cordovil,2021,6
Cordovil,2022,11
Cordovil,2023,7
Cordovil,2024,15
Jardim Guanabara,2019,7
Jardim Guanabara,2020,2
Jardim Guanabara,2021,1
Jardim Guanabara,2022,1
Jardim Guanabara,2023,2
Jardim Guanabara,2024,6
Parada de Lucas,2019,11
Parada de Lucas,2020,8
Parada de Lucas,2021,8
Parada de Lucas,2022,4
Parada de Lucas,2023,5
Parada de Lucas,2024,3
Parque Colúmbia,2019,0
Parque Colúmbia,2020,2
Parque Colúmbia,2021,0
Parque Colúmbia,2022,2
Parque Colúmbia,2023,0
Parque Colúmbia,2024,0
