controle,ano,titulo,titulo_do,bairro_fato_original,bairro
07644051-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Jacarepagua,Jacarepaguá
63341861-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Cachambi,Cachambi
15267481-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Barros filho,Barros Filho
64467661-2019,2019,Homicídio (outros),Homicídio doloso,Copacabana,Copacabana
69291621-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Santa teresa,Santa Teresa
87267641-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Colegio,Colégio
16539062-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Guadalupe,Guadalupe
34418741-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Engenho de dentro,Engenho de Dentro
44032331-2019,2019,Homicídio (outros),Homicídio doloso,Grajau,Grajaú
71109331-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Jardim america,Jardim América
40479101-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Bangu,Bangu
29387721-2019,2019,Homicídio (outros),Homicídio doloso,Inhauma,Inhaúma
30712471-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
87331471-2019,2019,Homicídio (outros),Homicídio doloso,Olaria,Olaria
15372521-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Padre miguel,Padre Miguel
18395691-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Benfica,Benfica
20710091-2019,2019,Homicídio (outros),Homicídio doloso,Realengo,Realengo
39692711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
39692711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
39692711-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Praca seca,Praça Seca
60085561-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Taquara,Taquara
78104911-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Recreio dos bandeirantes,Recreio dos Bandeirantes
95768971-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bonsucesso,Bonsucesso
13614561-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Caju,Caju
90376441-2019,2019,Homicídio (outros),Homicídio doloso,Rocinha,Rocinha
02962621-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jacarepagua,Jacarepaguá
49812701-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Sao cristovao,São Cristóvão
53417431-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Senador camara,Senador Camará
82928351-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tomas coelho,Tomás Coelho
91104111-2019,2019,Lesão Corporal Seguida de Morte (outros),Lesão corporal seguida de morte,Ipanema,Ipanema
92938531-2019,2019,Homicídio Provocado por Emprego de Arma Branca,Homicídio doloso,Copacabana,Copacabana
83260531-2019,2019,Homicídio (outros),Homicídio doloso,Gardenia azul,Gardênia Azul
03174881-2019,2019,Homicídio (outros),Homicídio doloso,Rocinha,Rocinha
16700541-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Quintino bocaiuva,Quintino Bocaiúva
34329301-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
83517731-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Bangu,Bangu
37334361-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Tanque,Tanque
88420301-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Guadalupe,Guadalupe
17594931-2019,2019,Homicídio (outros),Homicídio doloso,Vila kennedy,Bangu
49776421-2019,2019,Homicídio (outros),Homicídio doloso,Senador camara,Senador Camará
80074631-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cavalcanti,Cavalcanti
90068931-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Bangu,Bangu
76117291-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
85752491-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Madureira,Madureira
00247941-2019,2019,Roubo Seguido de Morte Provocado por Projétil de Arma de Fogo,Latrocínio (Roubo seguido de morte),Guaratiba,Guaratiba
02999291-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Pilares,Pilares
03389811-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Cordovil,Cordovil
53549901-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Campo grande,Campo Grande
73824251-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Sampaio,Sampaio
73824251-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Sampaio,Sampaio
89139381-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Rocha miranda,Rocha Miranda
37632841-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Mangueira,Mangueira
46734131-2019,2019,Homicídio (outros),Homicídio doloso,Costa barros,Costa Barros
55732361-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Copacabana,Copacabana
65690971-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Del castilho,Del Castilho
05659571-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Taquara,Taquara
11743161-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Jardim america,Jardim América
19401741-2019,2019,Morte por Intervenção de Agente do Estado,Morte por intervenção de agente do Estado,Vigario geral,Vigário Geral
32633171-2019,2019,Homicídio Provocado por Projétil de Arma de Fogo,Homicídio doloso,Galeao,Galeão
