ano,variavel,N,total,media,dp,cv,mediana,minimo,maximo
2019,Ação policial,159,1186,7.4591194968553465,13.806869569930514,185.10052796112578,2,0,99
2020,Ação policial,159,643,4.0440251572327055,7.069587129145396,174.8156070815113,1,0,48
2021,Ação policial,159,603,3.792452830188679,6.296548654477619,166.02839735687255,1,0,40
2022,Ação policial,159,665,4.182389937106917,6.569834541114383,157.0832619604793,2,0,48
2023,Ação policial,159,646,4.062893081761007,7.730169021185181,190.26267405084266,1,0,61
2024,Ação policial,159,594,3.7358490566037736,6.267711946186032,167.772087448414,1,0,48
2019,Tiroteios,159,4341,27.301886792452834,56.16090747186206,205.7033929515334,9,0,517
2020,Tiroteios,159,2713,17.062893081761008,36.29200936123319,212.69552113660438,7,0,383
2021,Tiroteios,159,2504,15.748427672955975,27.164284200393272,172.48886532997324,6,0,209
2022,Tiroteios,159,2166,13.622641509433965,17.904344725984078,131.43078538464763,7,0,121
2023,Tiroteios,159,1974,12.415094339622641,21.399545093589325,172.36715652891098,6,0,165
2024,Tiroteios,159,1682,10.578616352201257,15.865089310586798,149.97319859591565,5,0,88
