bairro,total_mvi,media_mvi,renda,populacao,ips_agua,ips_favelas
Bangu,490,81.66666666666667,1840.31,243125,95.9033258326891,0.1153
Realengo,326,54.333333333333336,1932.4,180123,94.0984758431225,0.0787
Penha,205,34.166666666666664,2132.23,78678,90.4463744207851,0.0151
Campo Grande,201,33.5,2308.66,328370,90.2463973022716,0.0466
Pavuna,201,33.5,1698.29,97350,94.484090076222,0.213
Santa Cruz,195,32.5,1472.35,217333,87.9377961693862,0.0959
Costa Barros,163,27.166666666666668,1147.85,28442,94.3840485381824,0.3189
Jacarepaguá,135,22.5,2282.28,157326,76.2446560995233,0.5451
Bonsucesso,132,22,2464.27,18711,89.5559313531074,0.1151
Senador Camará,132,22,1527.66,105515,94.5031757835731,0.3656
