termo,estimativa_original,erro_padrao_original,p_valor_original,irr_original,estimativa_sem_influentes,erro_padrao_sem_influentes,p_valor_sem_influentes,irr_sem_influentes
(Intercept),1.64941,0.17408,0,5.203908615178444,1.77939,0.1513,0,5.926240309201299
tempo,-0.52406,0.1007,0,0.5921116878403885,-0.53818,0.10334,0,0.5838098199267553
I(tempo^2),0.21493,0.04849,1e-5,1.2397751096708651,0.21929,0.05005,1e-5,1.2451923301079861
I(tempo^3),-0.02417,0.00613,8e-5,0.9761197552937796,-0.02468,0.00634,1e-4,0.9756220611413762
acao_policial,0.03505,0.00328,0,1.0356714910796094,0.03467,0.00324,0,1.0352780106790103
pop_total,0.11274,0.01346,0,1.1193408664862992,0.10223,0.01185,0,1.1076381992189694
milicia,0.00624,0.00263,0.01791,1.0062595093583553,0.00629,0.00264,0.01712,1.0063098235916685
renda,-0.06754,0.01856,2.7e-4,0.9346903322549751,-0.08303,0.01712,0,0.9203235370998619
tempo:acao_policial,0.02993,0.00587,0,1.0303824046606949,0.03065,0.00596,0,1.0311245471312793
I(tempo^2):acao_policial,-0.01361,0.00275,0,0.9864821973075927,-0.01382,0.00281,0,0.986275057796568
I(tempo^3):acao_policial,0.0017,3.6e-4,0,1.0017014458191815,0.00172,3.7e-4,0,1.0017214800484395
