termo,estimativa,erro_padrao,z_wald,p_valor,ic95_beta_inf,ic95_beta_sup,irr,ic95_irr_inf,ic95_irr_sup,variancia_estimacao
(Intercept),1.64941,0.17408,9.475011488970587,0,1.3082132,1.9906068000000001,5.203908615178444,3.6995574337646753,7.319974175281583,robust
tempo,-0.52406,0.1007,-5.204170804369414,0,-0.721432,-0.326688,0.5921116878403885,0.48605572556422716,0.7213087562546696,robust
I(tempo^2),0.21493,0.04849,4.432460301093009,1e-5,0.11988960000000001,0.3099704,1.2397751096708651,1.1273723827977644,1.3633847573460829,robust
I(tempo^3),-0.02417,0.00613,-3.9429037520391517,8e-5,-0.0361848,-0.012155200000000001,0.9761197552937796,0.9644620444276074,0.9879183760313403,robust
acao_policial,0.03505,0.00328,10.685975609756097,0,0.0286212,0.041478799999999996,1.0356714910796094,1.0290347222851983,1.0423510637746827,robust
pop_total,0.11274,0.01346,8.37592867756315,0,0.0863584,0.1391216,1.1193408664862992,1.0901969848946724,1.149263841990306,robust
milicia,0.00624,0.00263,2.3726235741444865,0.01791,0.0010851999999999997,0.0113948,1.0062595093583553,1.001085789042577,1.0114599680238323,robust
renda,-0.06754,0.01856,-3.6390086206896552,2.7e-4,-0.1039176,-0.0311624,0.9346903322549751,0.9012995614453481,0.9693181430266244,robust
tempo:acao_policial,0.02993,0.00587,5.098807495741056,0,0.018424799999999998,0.0414352,1.0303824046606949,1.0185955839014942,1.0423056182590216,robust
I(tempo^2):acao_policial,-0.01361,0.00275,-4.949090909090909,0,-0.019,-0.008220000000000002,0.9864821973075927,0.981179362242806,0.9918136918212084,robust
I(tempo^3):acao_policial,0.0017,3.6e-4,4.722222222222221,0,9.943999999999999e-4,0.0024056,1.0017014458191815,1.000994894579603,1.0024084957772417,robust
